0001,ローラン,武将,光,,ブレイダー,120,75,50,35,9,人男騎神星,女魔神竜星,軍事従事,3,S,8,食料,18,両手,鎧,糧食,進撃,,,,,,必殺増加,20,カブト割,25,確率追撃,75,扇形攻撃,0,側面攻撃,10,巨人狩り,25,堅守体躯,40,英雄覇気,8,カブト割,5,連携攻撃,50,加速進化,6,ランサー,Lv2,ハード・スラッシュ,キャスター,Lv3,ウォークライ,ランサー,Lv3,ソード・ブレイク,ブレイダー,Lv3,シューティングスター,デストロイヤー,Lv4,オーバーレイ,メイン_通常,4590,175,123,92,39,1.25,1.87,25,25,
0002,英雄ローラン,武将,光,,ブレイダー,125,95,75,40,13,人男騎神星,女魔神竜星超,軍事従事,3,S,13,食料,23,両手,鎧,糧食,進撃,,,,,,必殺増加,30,カブト割,40,確率追撃,100,十字攻撃,0,側面攻撃,20,致命必殺,75,堅守体躯,75,英雄覇気,14,カブト割,5,疾風迅雷,25,加速進化,12,ランサー,Lv2,バースト・スラッシュ,キャスター,Lv3,エンペラーズ・ギフト,ブレイダー,Lv3,バースト・ラッシュ,ランサー,Lv3,メテオドライブ,デストロイヤー,Lv4,バーストレイ,メイン_ロウ,4781,216,175,103,47,1,1.75,40,55,
0003,支配者ローラン,武将,闇,,ブレイダー,125,105,80,25,10,死男騎神星,女魔神竜星超,軍事従事,3,S,15,魔力,25,両手,鎧,糧食,進撃,,,,,,必殺増加,35,次元斬撃,45,多段攻撃,4,全域攻撃,0,無効喰い,35,心核穿ち,40,神魔体躯,70,死の軍勢,30,カブト割,5,確率追撃,100,狂奔の牙,15,ランサー,Lv2,ソウル・スラッシュ,キャスター,Lv3,グリード・リンカー,デストロイヤー,Lv3,ソウル・ブレイク,ランサー,Lv3,スターブレイカー,デストロイヤー,Lv4,ブラスターレイ,メイン_カオス,4781,236,185,72,41,4.53,6.8,45,45,
0011,リーンフォルテ,武将,光,,シューター,115,54,48,54,16,女神騎飛,魔獣樹飛,医療従事,3,S,7,食料,17,鞭,鎧,糧食,計略,,,,,,平等治癒,10,聖戦の導,15,イベイド,40,側面攻撃,15,多段攻撃,2,師団活性,15,堅守体躯,30,確率追撃,100,心核穿ち,5,扇形攻撃,0,リバイブ,25,ランサー,Lv2,ソーン・エッジ,ヒーラー,Lv2,セイクリッド・オーダー,ランサー,Lv3,ブロッサム・インペイル,ブレイダー,Lv3,心核を暴く茨,デストロイヤー,Lv4,レギンレイヴ,メイン_通常,4398,131,119,131,53,1.7,2.55,0,0,
0012,福音のリーンフォルテ,武将,光,,シューター,120,68,52,58,18,女神騎飛星,魔獣樹飛星,医療従事,3,S,11,食料,21,鞭,鎧,糧食,計略,,,,,,平等治癒,15,聖戦の導,25,イベイド,60,側面攻撃,25,多段攻撃,4,英雄覇気,10,堅守体躯,50,確率追撃,125,心核穿ち,5,集約攻撃,0,リバイブ,75,ランサー,Lv2,ソーン・エッジ,ヒーラー,Lv4,セイクリッド・オーダー,ランサー,Lv3,ブロッサム・インペイル,ブレイダー,Lv3,心核を暴く茨,デストロイヤー,Lv4,レギンレイヴ,メイン_ロウ,4590,160,127,140,57,2.4,3.6,0,0,
0013,魔戦姫リーンフォルテ,武将,闇,,シューター,120,74,68,64,14,女神騎飛竜,魔神竜飛星,医療従事,3,S,12,魔力,22,鞭,鎧,糧食,計略,,,,,,竜の吐息,10,凍傷気流,15,次元障壁,45,次元斬撃,35,多段攻撃,3,竜王守護,100,神魔体躯,60,確率追撃,125,心核穿ち,5,十字攻撃,0,疾風迅雷,20,ランサー,Lv2,スケイル・エッジ,ヒーラー,Lv4,ドラゴン・ブラッド,ランサー,Lv3,スピニング・ヴァイパー,ブレイダー,Lv3,紅き薔薇の聖母,デストロイヤー,Lv4,ジークフリート,メイン_カオス,4590,172,160,152,49,2.05,3.07,35,35,
0021,オルトリーファ,武将,火,,ガーダー,120,72,72,15,10,女神騎飛,魔騎器飛,軍事従事,3,S,10,食料,20,斧槍,盾,糧食,防備,,,,,,反撃倍加,5,聖戦の導,10,防御布陣,20,前進防御,0,専守防衛,0,至高の盾,30,堅守体躯,50,範囲無効,0,必殺耐性,10,特攻防御,30,正々堂々,,ランサー,Lv2,スパイラル・ブラスター,ガーダー,Lv2,ヴェルンド・シールド,ブレイダー,Lv3,ロードスヴェル,ガーダー,Lv4,壊れざる盾の下へ,ランサー,Lv4,ゲイルドリヴル,メイン_通常,4590,168,168,51,41,1,1.5,0,0,
0022,王権のオルトリーファ,武将,火,,ガーダー,125,88,88,25,13,女神騎飛,魔騎器飛超,軍事従事,3,S,14,食料,24,斧槍,盾,糧食,防備,,,,,,反撃倍加,8,聖戦の導,15,防御布陣,40,前進防御,0,専守防衛,0,至高の盾,45,神魔体躯,70,範囲無効,0,必殺耐性,10,受け流し,30,正々堂々,,ランサー,Lv2,スパイラル・ブラスター,ガーダー,Lv2,ヴェルンド・シールド,ブレイダー,Lv3,ロードスヴェル,ガーダー,Lv4,壊れざる盾の下へ,ランサー,Lv4,ゲイルドリヴル,メイン_ロウ,4781,201,201,72,47,1,1.5,0,0,
0023,魔戦姫オルトリーファ,武将,火,,ガーダー,125,96,96,18,7,女神騎飛炎,魔神騎器飛,軍事従事,3,S,16,魔力,26,斧槍,盾,糧食,防備,,,,,,反撃倍加,10,恐怖の瞳,30,防御布陣,25,前進防御,0,専守防衛,0,次元障壁,60,神魔体躯,70,範囲無効,0,必殺耐性,10,致命必殺,100,必殺増加,25,ランサー,Lv2,ギロチン・スラッシュ,ガーダー,Lv2,ガンケイン・シールド,ブレイダー,Lv3,サーヴフリスト,ガーダー,Lv4,虚像は静寂の影に,ランサー,Lv4,ラーズグリーズ,メイン_カオス,4781,218,218,57,35,1,1.5,0,0,
0031,グンヒルド,武将,水,,キャスター,110,26,28,36,18,女神海飛,男女炎海,商業従事,20,S,7,食料,17,杖,法衣,糧食,計略,,,,,,術式増幅,10,聖戦の導,10,追撃阻止,40,標的後逸,0,専守防衛,0,四法結界,30,グルメ魂,5,大水流陣,10,バリアー,1,魔術砲弾,10,終の奇跡,15,ブレイダー,Lv1,シャボン・スプラッシュ,デストロイヤー,Lv2,チャーム・ヘイズ,ヒーラー,Lv4,アクア・カーテン,デストロイヤー,Lv3,泡と消えるは万華鏡,デストロイヤー,Lv4,ミラージュ・ウェイブ,メイン_通常,4207,74,78,94,57,1,1.5,0,0,
0032,聖印のグンヒルド,武将,水,,キャスター,115,40,36,48,23,女神海飛,男女炎海魔,商業従事,20,S,11,食料,21,杖,法衣,糧食,計略,,,,,,術式増幅,20,聖戦の導,20,追撃阻止,60,標的後逸,0,専守防衛,0,四法結界,50,グルメ魂,7,超水流陣,8,バリアー,1,超魔術砲,5,終の奇跡,30,ブレイダー,Lv1,シャボン・スプラッシュ,デストロイヤー,Lv2,チャーム・ヘイズ,ヒーラー,Lv4,アクア・カーテン,デストロイヤー,Lv3,泡と消えるは万華鏡,デストロイヤー,Lv4,ミラージュ・ウェイブ,メイン_ロウ,4398,103,94,119,68,1,1.5,0,0,
0033,魔戦姫グンヒルド,武将,水,,キャスター,115,64,40,52,20,女神海飛獣,男女炎海神,商業従事,20,S,12,魔力,22,杖,法衣,糧食,計略,,,,,,腐敗の繭,25,凍傷気流,25,虹の毒撃,15,強制異常,40,次元斬撃,15,四法結界,40,グルメ魂,9,超強酸陣,8,バリアー,1,超強酸砲,5,全域攻撃,,ブレイダー,Lv1,シャボン・ストリーム,デストロイヤー,Lv2,メズマライズ・ミスト,ヒーラー,Lv4,天狗の神隠し,デストロイヤー,Lv3,月に叢雲、花に風,デストロイヤー,Lv4,イビル・ヴォーテクス,メイン_カオス,4398,152,103,127,62,1,1.5,15,15,
0041,プラティエ,武将,風,,ヒーラー,110,44,38,50,17,女神騎飛,魔人騎飛,魔術従事,16,S,6,食料,16,杖,法衣,糧食,防備,,,,,,バリアー,4,聖戦の導,15,絶対治療,0,リバイブ,25,専守防衛,0,四法結界,30,堅守体躯,15,平等治癒,10,師団指揮,1,師団指揮,10,戦術補助,50,ブレイダー,Lv1,ストーム・エッジ,ヒーラー,Lv2,栄光への道,キャスター,Lv3,勇士たちの戯曲,ヒーラー,Lv3,サモン・リザレクション,デストロイヤー,Lv6,解放のニーベルング,メイン_通常,4207,111,99,123,55,1,1.5,0,0,
0042,清風のプラティエ,武将,風,,ヒーラー,115,52,42,57,20,女神騎飛,魔人騎飛器,魔術従事,16,S,10,食料,20,杖,法衣,糧食,防備,,,,,,バリアー,8,聖戦の導,25,絶対治療,0,リバイブ,50,次元斬撃,25,四法結界,50,堅守体躯,30,平等治癒,15,師団指揮,1,師団指揮,15,戦術補助,100,ブレイダー,Lv1,ストーム・エッジ,ヒーラー,Lv2,栄光への道,キャスター,Lv3,勇士たちの戯曲,ヒーラー,Lv3,サモン・リザレクション,デストロイヤー,Lv6,解放のニーベルング,メイン_ロウ,4398,127,107,138,62,1,1.5,25,25,
0043,魔戦姫プラティエ,武将,風,,ヒーラー,115,69,53,68,15,女神騎飛死夜,魔人騎死神,魔術従事,16,S,11,魔力,21,杖,法衣,糧食,防備,,,,,,恐怖の瞳,35,死の軍勢,40,虹の毒撃,25,多段攻撃,3,カブト割,40,致命必殺,250,神魔体躯,60,全域攻撃,0,師団指揮,1,必殺増加,25,吸血攻撃,15,ブレイダー,Lv1,ブラック・デスサイズ,ヒーラー,Lv2,死神の祝福,キャスター,Lv3,英霊たちの狂騒曲,ヒーラー,Lv3,リビングデッド・マーチ,デストロイヤー,Lv6,冥界のニーベルング,メイン_カオス,4398,162,129,160,51,2.05,7.17,40,55,
